
     Clock     uop p0     uop p1     uop p2     uop p3 
        18         -5          9          1          1 
         6         -3         11          1          0 
         0          3          8          1          0 
         3         -6          7          0          0 
         3          0         -1          0          0 
        15         -6          7          0          0 
        21          0         -1          0          0 
        15          0         -3          0          0 
