
     Clock     uop p0     uop p1     uop p2     uop p3 
       195          5          9          1          2 
         3          9          7          1          2 
         3          0          8          0          0 
        18          6         -2          0          0 
        18          0          6          0          0 
        18          6         -1          0          0 
         0          0          6          0          0 
        18          6         -1          0          0 
